day,hour,value
6,18,180
1,22,174
1,21,165
7,19,163
4,22,163
7,18,155
7,21,155
7,15,154
3,22,154
7,22,154
7,14,149
4,21,148
7,17,147
3,21,142
6,14,137
2,22,137
2,21,133
1,23,131
7,20,127
6,17,125
5,21,124
7,10,124
7,16,121
2,23,119
3,19,119
6,16,118
7,11,114
5,22,112
2,18,112
1,19,109
2,19,108
5,18,107
1,20,105
5,17,105
6,10,105
4,20,104
4,23,103
4,19,102
5,20,102
5,19,101
2,20,100
6,15,97
6,22,96
6,20,95
3,14,94
6,19,93
6,11,93
3,18,91
7,23,90
7,13,89
4,18,87
3,17,87
6,23,87
5,14,86
5,23,86
1,17,84
6,12,84
7,12,84
1,18,82
6,21,81
2,15,79
2,16,79
1,14,79
2,17,78
4,17,78
3,16,78
3,20,78
5,15,77
1,10,76
6,13,76
3,23,74
5,11,73
5,16,72
1,11,71
1,16,71
1,15,70
2,11,69
2,13,69
4,12,67
3,13,67
4,14,67
4,16,67
4,15,67
3,11,66
3,12,65
2,14,62
5,10,61
4,11,59
1,12,57
3,15,57
7,9,57
5,12,56
2,9,56
3,0,54
4,13,52
5,0,52
3,10,52
6,9,51
5,13,49
1,9,48
7,0,44
2,10,44
4,8,44
1,0,44
5,8,44
2,12,43
6,8,43
1,13,43
3,9,41
4,10,41
6,0,41
2,8,40
5,9,39
2,0,36
4,0,35
1,8,34
3,8,33
3,7,32
7,8,31
7,1,31
2,7,30
4,9,27
6,7,22
1,1,19
3,1,19
1,7,18
5,1,18
4,1,18
2,1,16
5,7,16
4,6,14
6,1,14
1,2,13
2,6,12
7,7,10
2,2,10
7,3,9
4,7,9
3,2,9
4,2,8
3,6,7
6,6,7
1,5,7
1,6,7
3,5,7
5,4,6
2,5,6
5,6,6
3,3,6
3,4,5
6,2,5
7,6,5
5,5,5
7,5,5
7,2,5
6,4,4
5,2,4
6,5,4
7,4,3
5,3,2
4,4,2
2,3,2
1,3,2
6,3,2
2,4,2
4,5,2
1,4,1
